image_path,linear_x,angular_z,timestamp
images/img_43860000000.jpg,0.0,-0.0,43860000000
images/img_44196000000.jpg,1.25,-0.0,44196000000
images/img_44528000000.jpg,1.25,-0.0,44528000000
images/img_44860000000.jpg,1.16,-0.92,44860000000
images/img_45196000000.jpg,1.02,-1.22,45196000000
images/img_45530000000.jpg,0.97,-1.3,45530000000
images/img_45862000000.jpg,0.95,-1.41,45862000000
images/img_46194000000.jpg,0.94,-1.58,46194000000
images/img_46530000000.jpg,0.96,-1.57,46530000000
images/img_46864000000.jpg,0.99,-1.1,46864000000
images/img_47194000000.jpg,1.0,-1.06,47194000000
images/img_47530000000.jpg,0.96,-0.86,47530000000
images/img_47860000000.jpg,0.85,-0.41,47860000000
images/img_48196000000.jpg,0.87,-0.0,48196000000
images/img_48528000000.jpg,0.81,0.29,48528000000
images/img_48862000000.jpg,0.65,1.7,48862000000
images/img_49196000000.jpg,0.57,1.93,49196000000
images/img_49530000000.jpg,1.07,1.92,49530000000
images/img_49860000000.jpg,1.23,1.84,49860000000
images/img_50192000000.jpg,1.18,2.32,50192000000
images/img_50528000000.jpg,1.07,0.78,50528000000
images/img_50864000000.jpg,0.93,-0.14,50864000000
images/img_51196000000.jpg,0.85,-0.92,51196000000
images/img_51530000000.jpg,0.98,-1.35,51530000000
images/img_51862000000.jpg,0.97,-0.58,51862000000
images/img_52196000000.jpg,0.94,-0.0,52196000000
images/img_52526000000.jpg,0.98,0.4,52526000000
images/img_52858000000.jpg,0.98,1.47,52858000000
images/img_53196000000.jpg,0.97,2.08,53196000000
images/img_53528000000.jpg,0.97,2.04,53528000000
images/img_53862000000.jpg,0.95,2.19,53862000000
images/img_54194000000.jpg,0.95,1.29,54194000000
images/img_54558000000.jpg,0.9,1.12,54558000000
images/img_54890000000.jpg,0.84,0.67,54890000000
images/img_55226000000.jpg,0.83,-0.0,55226000000
images/img_55564000000.jpg,0.86,-1.95,55564000000
images/img_55894000000.jpg,0.98,-2.74,55894000000
